latitude,longitude,SST,SSS,depth,temperature
10.0,70.0,28.5,35.2,100,20.0
10.0,70.0,28.5,35.2,150,18.5
10.0,70.0,28.5,35.2,200,17.0
10.0,70.0,28.5,35.2,250,15.8
10.25,70.25,28.7,35.1,100,20.3
10.25,70.25,28.7,35.1,150,18.8
10.25,70.25,28.7,35.1,200,17.3
10.25,70.25,28.7,35.1,250,16.1
10.50,70.50,29.0,35.3,100,21.0
10.50,70.50,29.0,35.3,150,19.2
10.50,70.50,29.0,35.3,200,17.8
10.50,70.50,29.0,35.3,250,16.5
10.75,70.75,28.8,35.0,100,20.6
10.75,70.75,28.8,35.0,150,18.9
10.75,70.75,28.8,35.0,200,17.5
10.75,70.75,28.8,35.0,250,16.2
11.0,71.0,29.1,35.4,100,21.2
11.0,71.0,29.1,35.4,150,19.5
11.0,71.0,29.1,35.4,200,18.0
11.0,71.0,29.1,35.4,250,16.7
